Age,Barking_and_Dagenham,Barnet,Bexley,Brent,Bromley,Camden,Croydon,Ealing,Enfield,Greenwich,Hackney,Hammersmith_and_Fulham,Haringey,Harrow,Havering,Hillingdon,Hounslow,Islington,Kensington_and_Chelsea,Kingston_upon_Thames,Lambeth,Lewisham,Merton,Newham,Redbridge,Richmond_upon_Thames,Southwark,Sutton,Tower_Hamlets,Waltham_Forest,Wandsworth,Westminster,Greater_London
20,2408.0,3618.0,2550.0,3520.0,2642.0,4098.0,3503.0,3059.0,3334.0,3209.0,2574.0,1884.0,2656.0,2138.0,2648.0,3995.0,2924.0,3829.0,1483.0,2589.0,2947.0,3009.0,1567.0,4440.0,2917.0,1390.0,4116.0,1735.0,4335.0,2770.0,2584.0,2808.0,93279.0
21,2451.0,4053.0,2904.0,3762.0,2971.0,3775.0,3692.0,3464.0,3523.0,3330.0,2782.0,2271.0,3005.0,2523.0,2752.0,4361.0,2944.0,4177.0,1726.0,2549.0,3348.0,3362.0,1735.0,4948.0,3051.0,1581.0,4069.0,1778.0,4586.0,2850.0,2812.0,3192.0,100327.0
22,2550.0,4264.0,3014.0,4299.0,3141.0,4235.0,4138.0,3684.0,3965.0,3990.0,3255.0,2494.0,3390.0,2735.0,2966.0,4532.0,3206.0,4590.0,1916.0,2669.0,3959.0,4021.0,2173.0,5236.0,3560.0,1657.0,4727.0,1892.0,4987.0,3291.0,3239.0,3640.0,111415.0
23,2680.0,4772.0,3162.0,4524.0,3565.0,5000.0,4589.0,4183.0,4423.0,4041.0,3811.0,2980.0,4164.0,3007.0,3166.0,4790.0,3513.0,5552.0,2143.0,2851.0,5228.0,4554.0,2319.0,5874.0,3885.0,1817.0,5794.0,2197.0,5981.0,3744.0,4479.0,3611.0,126399.0
24,2893.0,5480.0,3519.0,5093.0,3701.0,5019.0,5329.0,4925.0,4764.0,4368.0,4561.0,3768.0,4472.0,3285.0,3498.0,4767.0,3941.0,5794.0,2308.0,2771.0,7064.0,4858.0,2522.0,6853.0,4421.0,1957.0,6908.0,2325.0,7324.0,4423.0,5839.0,3669.0,142419.0
25,3011.0,5981.0,3429.0,5473.0,3880.0,5200.0,5202.0,5328.0,4960.0,4647.0,5537.0,3738.0,5064.0,3515.0,3424.0,4603.0,4200.0,5824.0,2439.0,2710.0,8180.0,5302.0,2982.0,7621.0,4612.0,1807.0,7610.0,2415.0,7933.0,4771.0,6613.0,4522.0,152533.0
26,3026.0,5949.0,3557.0,5788.0,3889.0,5514.0,5385.0,5578.0,5079.0,4995.0,6158.0,4110.0,5092.0,3829.0,3553.0,4719.0,4401.0,5969.0,2671.0,2749.0,9531.0,5799.0,3170.0,7877.0,4517.0,2047.0,7710.0,2454.0,8718.0,4919.0,7746.0,4740.0,161239.0
27,3277.0,6492.0,3265.0,6023.0,4082.0,5563.0,5556.0,6012.0,5043.0,4951.0,7131.0,4387.0,5972.0,3995.0,3481.0,4672.0,4799.0,6349.0,2725.0,2759.0,10064.0,5832.0,3436.0,8101.0,5163.0,2314.0,7791.0,2647.0,9564.0,5237.0,8674.0,5080.0,170437.0
28,3136.0,6287.0,3130.0,6259.0,3930.0,5511.0,5501.0,6027.0,5384.0,5093.0,7961.0,4464.0,5649.0,3801.0,3263.0,4577.0,4939.0,6289.0,2524.0,2674.0,10507.0,5767.0,3640.0,7969.0,4908.0,2209.0,7905.0,2607.0,9622.0,5068.0,9133.0,5557.0,171291.0
29,3276.0,6627.0,3006.0,6796.0,3898.0,5272.0,6035.0,6472.0,5273.0,5501.0,8053.0,4655.0,5799.0,3780.0,3275.0,4851.0,5043.0,6723.0,2921.0,2845.0,10177.0,6097.0,3747.0,8341.0,5010.0,2277.0,7795.0,2604.0,9120.0,5327.0,9643.0,5918.0,176157.0
30,3469.0,6403.0,3159.0,6749.0,4140.0,5309.0,5722.0,6323.0,5168.0,5118.0,8135.0,4681.0,5968.0,3944.0,3425.0,4741.0,5247.0,6714.0,2955.0,2871.0,9675.0,5973.0,4118.0,8510.0,5305.0,2569.0,7903.0,2741.0,9083.0,5602.0,9810.0,5941.0,177471.0
31,3372.0,6292.0,2979.0,6500.0,3991.0,4955.0,5567.0,5979.0,5096.0,5157.0,7758.0,4169.0,6210.0,3999.0,3175.0,4753.0,5253.0,6378.0,3061.0,2795.0,9112.0,6192.0,3995.0,8083.0,5274.0,2768.0,7425.0,2985.0,8615.0,5437.0,9412.0,5796.0,172533.0
32,3344.0,6636.0,3186.0,6581.0,4320.0,5125.0,5840.0,6237.0,5112.0,5061.0,7512.0,4215.0,6103.0,3960.0,3238.0,4814.0,5326.0,5719.0,3217.0,3004.0,8333.0,6336.0,4165.0,8007.0,5350.0,3102.0,7164.0,3075.0,8015.0,5592.0,9014.0,5885.0,172588.0
33,3286.0,6536.0,3248.0,6267.0,4378.0,5134.0,6296.0,6264.0,5391.0,4869.0,7181.0,3954.0,5959.0,4277.0,3420.0,4824.0,5522.0,5240.0,3082.0,2951.0,7537.0,6308.0,4220.0,7424.0,5031.0,3236.0,6871.0,3219.0,7709.0,5453.0,8846.0,6003.0,169936.0
34,3314.0,6493.0,3317.0,5996.0,4970.0,4927.0,6026.0,6576.0,5051.0,5291.0,6920.0,3740.0,6010.0,4142.0,3450.0,4962.0,5413.0,5073.0,3379.0,3081.0,7854.0,6274.0,4336.0,6819.0,5398.0,3206.0,6630.0,3225.0,7196.0,5044.0,8083.0,5621.0,167817.0
35,3382.0,6476.0,3371.0,5891.0,4929.0,4653.0,5970.0,6294.0,5004.0,5590.0,6563.0,3832.0,5734.0,4021.0,3439.0,5092.0,5255.0,4806.0,3254.0,2985.0,6949.0,6113.0,4287.0,6407.0,5213.0,3424.0,6328.0,3355.0,6829.0,5071.0,7381.0,5296.0,163194.0
36,3129.0,6166.0,3236.0,5545.0,4993.0,4412.0,6039.0,6179.0,5069.0,5294.0,5793.0,3456.0,5611.0,4041.0,3211.0,5058.0,5068.0,4185.0,3082.0,2920.0,6376.0,6097.0,4150.0,5951.0,4950.0,3450.0,5811.0,3250.0,6076.0,4933.0,6982.0,4962.0,155475.0
37,3058.0,6023.0,3167.0,4999.0,4736.0,3908.0,5657.0,5591.0,4762.0,5049.0,5196.0,3219.0,5224.0,3773.0,3009.0,4565.0,4887.0,3850.0,2997.0,2873.0,5769.0,5415.0,3751.0,5336.0,4770.0,3498.0,5488.0,3126.0,5580.0,4725.0,6256.0,4550.0,144807.0
38,3156.0,5638.0,3022.0,5028.0,4655.0,3739.0,5557.0,5679.0,4766.0,4732.0,4667.0,3071.0,4885.0,3703.0,3044.0,4285.0,4555.0,3416.0,2880.0,2706.0,5240.0,5395.0,3751.0,5096.0,4725.0,3434.0,5180.0,3060.0,5347.0,4465.0,5604.0,4431.0,138912.0
39,2932.0,5633.0,3078.0,4849.0,4631.0,3719.0,5489.0,5627.0,4500.0,4307.0,4323.0,2978.0,4587.0,3539.0,3048.0,4201.0,4396.0,3443.0,2628.0,2777.0,5292.0,5055.0,3447.0,5005.0,4570.0,3355.0,4880.0,3021.0,4669.0,4309.0,5315.0,4033.0,133636.0
40,3098.0,5650.0,3046.0,4693.0,4671.0,3542.0,5451.0,5296.0,4352.0,4433.0,4104.0,3016.0,4419.0,3402.0,3020.0,4199.0,4459.0,3059.0,2357.0,2773.0,4796.0,4682.0,3260.0,4568.0,4378.0,3546.0,4826.0,3019.0,4475.0,4171.0,5185.0,4122.0,130068.0
41,3071.0,5457.0,3082.0,4617.0,4702.0,3580.0,5134.0,5367.0,4550.0,4041.0,3830.0,2909.0,4306.0,3306.0,2998.0,4067.0,4096.0,3020.0,2578.0,2770.0,4684.0,4584.0,3011.0,4353.0,4290.0,3496.0,4347.0,3075.0,4128.0,3974.0,4846.0,3859.0,126128.0
42,2920.0,5526.0,3238.0,4549.0,4770.0,3537.0,5085.0,5117.0,4523.0,4121.0,3764.0,2788.0,4238.0,3510.0,3027.0,4052.0,3994.0,2940.0,2354.0,2708.0,4505.0,4694.0,3230.0,4265.0,4029.0,3503.0,4442.0,3080.0,3851.0,3967.0,4637.0,3790.0,124754.0
43,2808.0,5454.0,3241.0,4420.0,4732.0,3350.0,5453.0,5192.0,4503.0,3958.0,3724.0,2831.0,4104.0,3366.0,3230.0,4038.0,3895.0,3050.0,2512.0,2724.0,4549.0,4734.0,2978.0,4253.0,4059.0,3490.0,4283.0,3220.0,3589.0,4067.0,4623.0,3491.0,123921.0
44,2878.0,5557.0,3342.0,4256.0,4940.0,3341.0,5451.0,5046.0,4716.0,3966.0,3363.0,2629.0,4283.0,3345.0,3319.0,4065.0,3704.0,2880.0,2372.0,2615.0,4407.0,4647.0,3033.0,4321.0,4032.0,3365.0,4246.0,3086.0,3552.0,4062.0,4084.0,3320.0,122223.0
45,2863.0,5399.0,3602.0,4341.0,5011.0,3245.0,5227.0,5039.0,4682.0,3797.0,3382.0,2492.0,3821.0,3285.0,3303.0,4066.0,3685.0,2738.0,2232.0,2409.0,4234.0,4283.0,3009.0,4290.0,3897.0,3084.0,4353.0,3034.0,3271.0,3967.0,4181.0,3513.0,119735.0
46,2674.0,5411.0,3579.0,4290.0,5072.0,3160.0,5487.0,4912.0,4650.0,3736.0,3189.0,2433.0,3958.0,3302.0,3419.0,3822.0,3475.0,2828.0,2340.0,2497.0,4143.0,4292.0,3066.0,4273.0,3967.0,3119.0,4157.0,2968.0,3221.0,4004.0,4003.0,3380.0,118827.0
47,2606.0,5326.0,3433.0,4214.0,4977.0,3082.0,5425.0,4825.0,4776.0,3742.0,3303.0,2452.0,3764.0,3165.0,3482.0,4034.0,3554.0,2837.0,2361.0,2445.0,4222.0,4137.0,2934.0,4053.0,3887.0,3065.0,4168.0,3204.0,3032.0,3884.0,3873.0,3399.0,117661.0
